Time Period,Date,Document ID,Sentence ID,Headline,Chunk Text,Motivation,Label,Entity,Country Code,Entity Type,Theme Matching Label,Theme Matching Motivation,motivation,label,daily summary,daily bullet points
Sep 2025,2025-09-19,41793F77F40E491B060BEFF13F3CA19D,41793F77F40E491B060BEFF13F3CA19D-3,"Big change for H-1Bs: Donald Trump signs order to increase annual visa application fee to $100,000; aim to protect US tech jobs","""I think they're going to be very happy,
"" Trump said, anticipating the tech industry's response to the changes.
Additionally, White House staff secretary Will Scharf said,
""One of the most abused visa systems is the H1-B non-immigrant visa programme. This is supposed to allow highly skilled labourers who work in fields that Americans don't work in to come into the United States of America. What this proclamation will do is raise the fee that companies pay to sponsor H-1B applicants to $100,000. This will ensure that the people they're bringing in are actually very highly skilled and that they're not replaceable by American workers.\""It is noteworthy that Melania Trump, formerly Melania Knauss, received an H-1B visa in October 1996 for modelling work; she hails from Slovenia.","The sentence discusses the proposed changes to the H-1B visa program, specifically mentioning an increase in fees for companies sponsoring H-1B applicants. This directly relates to the theme of a proposed tax impacting companies employing H-1B visa holders.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence explicitly mentions the increase in fees for H-1B visa sponsorship to $100,000, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump explicitly said, 'I think they're going to be very happy,' which indicates his anticipation of the tech industry's response to the changes regarding the H-1B visa program.",quote,"Donald Trump expressed confidence that the tech industry will respond positively to the introduction of a high fee on H-1B visas, which aims to ensure that only highly skilled laborers are brought into the United States. The new fee is set at $100,000, and it is intended to prevent companies from replacing American workers with foreign labor. Trump emphasized the need for great workers and believes this measure will help achieve that goal.","""I think they're going to be very happy,"" Trump said, anticipating the tech industry's response to the changes.
""We need workers, we need great workers and this pretty much ensure that that's going to happen,"" Trump said."
Sep 2025,2025-09-19,5FC0D22740ABE91CA5B7A11EDFD1F4AC,5FC0D22740ABE91CA5B7A11EDFD1F4AC-2,Trump to require $100K fee for H-1B visa application,"""We need workers, we need great workers and this pretty much ensure that that's going to happen,"" Trump said.
Commerce Secretary Howard Lutnick said that the new fee will prevent companies from training foreign workers and instead encourage them to hire Americans on a new front in the Trump administration's crackdown on immigration.","The sentence discusses how the new fee will prevent companies from training foreign workers, which aligns with the theme that a new tax may hinder recruitment of skilled H-1B visa workers. It suggests a shift towards hiring Americans instead, indicating a potential prioritization of domestic candidates over H-1B visa applicants.",New tax may hinder recruitment of skilled H-1B visa workers.,Donald Trump,,PEOP,related,"The sentence discusses the introduction of a new fee for H-1B visas and its implications on hiring practices, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump explicitly stated, 'We need workers, we need great workers and this pretty much ensure that that's going to happen,' which is a direct quote from him.",quote,"Donald Trump expressed confidence that the tech industry will respond positively to the introduction of a high fee on H-1B visas, which aims to ensure that only highly skilled laborers are brought into the United States. The new fee is set at $100,000, and it is intended to prevent companies from replacing American workers with foreign labor. Trump emphasized the need for great workers and believes this measure will help achieve that goal.","""I think they're going to be very happy,"" Trump said, anticipating the tech industry's response to the changes.
""We need workers, we need great workers and this pretty much ensure that that's going to happen,"" Trump said."
Sep 2025,2025-09-20,36BD6B9E7A66735302FC5FC079A8BB32,36BD6B9E7A66735302FC5FC079A8BB32-1,"Netizens react to $100000 H-1B visa hike; India set to gain, says Amitabh Kant","Share
Share
This move could have a significant impact on the global flow of skilled workers.
From left: U.S. President Trump and India's G20 Sherpa and Former CEO of NITIAayog, Amitabh Kant
The US has dealt a significant blow to global talent. H-1B visa fees have risen by up to $100,000. On Friday, President Donald Trump announced that companies will now have to pay this substantial sum on top of existing, modest fees to hire a foreign employee. This move could have a significant impact on the global flow of skilled workers.","The sentence discusses the increase in H-1B visa fees and its potential impact on the global flow of skilled workers, which aligns with the theme of a proposed tax impacting companies employing H-1B visa holders.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence explicitly mentions that H-1B visa fees have risen by up to $100,000 and discusses the implications of this increase, directly relating to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump announced that companies will now have to pay this substantial sum on top of existing, modest fees to hire a foreign employee, which is a direct quote of what he said.",quote,"Today's quotes about Donald Trump primarily reinforce previous statements regarding the introduction of a high fee on H-1B visas. Trump continues to assert that the $100,000 fee will ensure that only highly skilled workers are brought into the United States, which he believes will benefit the tech industry. He maintains that the fee will deter companies from replacing American workers with foreign labor and will help cut taxes and pay down debt. Trump has accused IT outsourcing firms of abusing the H-1B program and labeled it a national security threat. The administration claims the fee will incentivize hiring American workers. New information includes Trump's statement that the fee will be used to cut taxes and pay down debt, and the confusion among businesses about the details of the H-1B order.","""The US has dealt a significant blow to global talent. H-1B visa fees have risen by up to $100,000."" - Quote_1
""We've spoken to them,"" said Lutnick, referring to technology CEOs, ""they're going to be very happy."" - Quote_2
""Trump accused IT outsourcing firms of 'systemic abuse' of the H-1B programme and branded it a 'national security threat.'"" - Quote_4
""Trump said that the country will use that amount to cut taxes and pay down debt. 'We think it's going to be very successful,' Trump said."" - Quote_5
""During a signing at the Oval Office Friday, Trump argued that America needs 'great workers' and that the newly imposed fee 'pretty much ensures that that's what's going to happen.'"" - Quote_6
""The company needs to decide... is the person valuable enough to have $100,000 a year payment to the government? Or they should head home and they should go hire an American,"" he told reporters."" - Quote_8"
Sep 2025,2025-09-20,B18823F3B31D71FDB520B6DA85EDFDD8,B18823F3B31D71FDB520B6DA85EDFDD8-19,"$100,000 toll on H-1B American dream","On whether the technology CEOs, who hire foreign workers on H1-B visas, are concerned about the new move, Trump said they're going to be very happy. ""We've spoken to them,"" said Lutnick.
The announcement sparked consternation among US-based IT professionals and Indian-American politicians who said the move will deter global talent and throttle innovation.","The sentence discusses concerns from US-based IT professionals and Indian-American politicians about the potential negative impact of the new tax on global talent and innovation, which aligns with the theme that the tax may hinder recruitment of skilled H-1B visa workers and impact innovation driven by H-1B visa talent.",New tax may hinder recruitment of skilled H-1B visa workers.,Donald Trump,,PEOP,related,"The sentence discusses the reaction of technology CEOs and US-based IT professionals to a new move related to H-1B visas, indicating a concern about the implications of a high fee on these visas. This connects to the theme of the introduction of a high fee on H-1B visas as it highlights the impact of such a fee on hiring foreign workers and innovation.",Donald Trump is quoted as saying that technology CEOs are going to be very happy about the new move regarding H-1B visas. This is a direct quote attributed to him.,quote,"Today's quotes about Donald Trump primarily reinforce previous statements regarding the introduction of a high fee on H-1B visas. Trump continues to assert that the $100,000 fee will ensure that only highly skilled workers are brought into the United States, which he believes will benefit the tech industry. He maintains that the fee will deter companies from replacing American workers with foreign labor and will help cut taxes and pay down debt. Trump has accused IT outsourcing firms of abusing the H-1B program and labeled it a national security threat. The administration claims the fee will incentivize hiring American workers. New information includes Trump's statement that the fee will be used to cut taxes and pay down debt, and the confusion among businesses about the details of the H-1B order.","""The US has dealt a significant blow to global talent. H-1B visa fees have risen by up to $100,000."" - Quote_1
""We've spoken to them,"" said Lutnick, referring to technology CEOs, ""they're going to be very happy."" - Quote_2
""Trump accused IT outsourcing firms of 'systemic abuse' of the H-1B programme and branded it a 'national security threat.'"" - Quote_4
""Trump said that the country will use that amount to cut taxes and pay down debt. 'We think it's going to be very successful,' Trump said."" - Quote_5
""During a signing at the Oval Office Friday, Trump argued that America needs 'great workers' and that the newly imposed fee 'pretty much ensures that that's what's going to happen.'"" - Quote_6
""The company needs to decide... is the person valuable enough to have $100,000 a year payment to the government? Or they should head home and they should go hire an American,"" he told reporters."" - Quote_8"
Sep 2025,2025-09-20,BADE00EFE4E45423DA3D00315B19026E,BADE00EFE4E45423DA3D00315B19026E-1,"Meta, Microsoft Urge H-1B Visa Holders To Return To US Quickly, Not Leave For 'Foreseeable Future'","Companies are recalling their H1-B visa holders as soon as possible to the US after Donald Trump announced a $100,000 application fee on the widely-used visa program.
The Donald Trump administration's decision to sharply hike H1-B visa fees has resulted in top companies like Meta and Microsoft, which hire quite a few foreign nationals, with Indians in the majority via this process, to ask their employees to return back to the United States within the next 24 hours.","The sentence discusses the impact of a proposed tax (application fee) on companies employing H-1B visa holders, specifically mentioning how companies are reacting to the increased costs by recalling their H-1B visa employees. This aligns with the theme of a proposed tax impacting companies employing H-1B visa holders.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence explicitly mentions a $100,000 application fee on the H-1B visa program, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'. It discusses the implications of this fee on companies and their H-1B visa holders, making the connection clear.","Donald Trump is mentioned in relation to announcing a $100,000 application fee on the H-1B visa program, which is a direct quote of something he has said.",quote,"Today's quotes about Donald Trump primarily reinforce previous statements regarding the introduction of a high fee on H-1B visas. Trump continues to assert that the $100,000 fee will ensure that only highly skilled workers are brought into the United States, which he believes will benefit the tech industry. He maintains that the fee will deter companies from replacing American workers with foreign labor and will help cut taxes and pay down debt. Trump has accused IT outsourcing firms of abusing the H-1B program and labeled it a national security threat. The administration claims the fee will incentivize hiring American workers. New information includes Trump's statement that the fee will be used to cut taxes and pay down debt, and the confusion among businesses about the details of the H-1B order.","""The US has dealt a significant blow to global talent. H-1B visa fees have risen by up to $100,000."" - Quote_1
""We've spoken to them,"" said Lutnick, referring to technology CEOs, ""they're going to be very happy."" - Quote_2
""Trump accused IT outsourcing firms of 'systemic abuse' of the H-1B programme and branded it a 'national security threat.'"" - Quote_4
""Trump said that the country will use that amount to cut taxes and pay down debt. 'We think it's going to be very successful,' Trump said."" - Quote_5
""During a signing at the Oval Office Friday, Trump argued that America needs 'great workers' and that the newly imposed fee 'pretty much ensures that that's what's going to happen.'"" - Quote_6
""The company needs to decide... is the person valuable enough to have $100,000 a year payment to the government? Or they should head home and they should go hire an American,"" he told reporters."" - Quote_8"
Sep 2025,2025-09-20,4E5AFB04E012CB8818B9DE0E61A55D56,4E5AFB04E012CB8818B9DE0E61A55D56-3,$1 million for 10 H-1B visa workers: What Trump's order means for US firms,"Sharply increase hiring costs for US companies
Disrupt workforce planning and recruitment
Redirect talent towards other countries
Why has Trump raised the H-1B fee?
Trump accused IT outsourcing firms of ""systemic abuse"" of the H-1B programme and branded it a ""national security threat.""","The sentence discusses the impact of increased hiring costs on US companies, which relates to the theme of 'Tax increases operational costs for companies employing H-1B visa workers.' It also touches on the disruption of workforce planning and recruitment, which aligns with the broader implications of the tax on H-1B visa hiring.",Tax increases operational costs for companies employing H-1B visa workers.,Donald Trump,,PEOP,related,"The sentence discusses the implications of increased hiring costs and the reasons behind the raised H-1B fee, specifically mentioning Trump's accusations against IT outsourcing firms. This directly relates to the theme of the introduction of a high fee on H-1B visas.",Donald Trump is quoted as having accused IT outsourcing firms of 'systemic abuse' of the H-1B programme and branded it a 'national security threat.' This is a direct quotation of his statements.,quote,"Today's quotes about Donald Trump primarily reinforce previous statements regarding the introduction of a high fee on H-1B visas. Trump continues to assert that the $100,000 fee will ensure that only highly skilled workers are brought into the United States, which he believes will benefit the tech industry. He maintains that the fee will deter companies from replacing American workers with foreign labor and will help cut taxes and pay down debt. Trump has accused IT outsourcing firms of abusing the H-1B program and labeled it a national security threat. The administration claims the fee will incentivize hiring American workers. New information includes Trump's statement that the fee will be used to cut taxes and pay down debt, and the confusion among businesses about the details of the H-1B order.","""The US has dealt a significant blow to global talent. H-1B visa fees have risen by up to $100,000."" - Quote_1
""We've spoken to them,"" said Lutnick, referring to technology CEOs, ""they're going to be very happy."" - Quote_2
""Trump accused IT outsourcing firms of 'systemic abuse' of the H-1B programme and branded it a 'national security threat.'"" - Quote_4
""Trump said that the country will use that amount to cut taxes and pay down debt. 'We think it's going to be very successful,' Trump said."" - Quote_5
""During a signing at the Oval Office Friday, Trump argued that America needs 'great workers' and that the newly imposed fee 'pretty much ensures that that's what's going to happen.'"" - Quote_6
""The company needs to decide... is the person valuable enough to have $100,000 a year payment to the government? Or they should head home and they should go hire an American,"" he told reporters."" - Quote_8"
Sep 2025,2025-09-20,601FED693DCE9E42318506A6E5F04461,601FED693DCE9E42318506A6E5F04461-13,"Trump hikes H-1B visa fees to $100,000 a year in massive immigration overhaul","Trump said that the country will use that amount to cut taxes and pay down debt. ""We think it's going to be very successful,"" Trump said.
Big blow for tech firms
The move is expected to significantly impact Indian technology workers who are hired by tech companies and others on H-1B visas. The visas are valid for three years and can be renewed for another three years.","The sentence discusses the expected impact of a policy change on Indian technology workers hired on H-1B visas, which relates to the proposed tax impacting companies employing H-1B visa holders. It highlights the potential consequences for tech firms that rely on these workers.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence discusses the impact of a fee increase on H-1B visas, specifically mentioning how it will affect Indian technology workers and tech companies. This directly relates to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump explicitly stated, 'We think it's going to be very successful,' which is a direct quote from him. However, the rest of the sentence discusses actions related to H-1B visa fees and their impact, which are not direct quotes from Trump. Therefore, the focus on the quote leads to the label.",quote,"Today's quotes about Donald Trump primarily reinforce previous statements regarding the introduction of a high fee on H-1B visas. Trump continues to assert that the $100,000 fee will ensure that only highly skilled workers are brought into the United States, which he believes will benefit the tech industry. He maintains that the fee will deter companies from replacing American workers with foreign labor and will help cut taxes and pay down debt. Trump has accused IT outsourcing firms of abusing the H-1B program and labeled it a national security threat. The administration claims the fee will incentivize hiring American workers. New information includes Trump's statement that the fee will be used to cut taxes and pay down debt, and the confusion among businesses about the details of the H-1B order.","""The US has dealt a significant blow to global talent. H-1B visa fees have risen by up to $100,000."" - Quote_1
""We've spoken to them,"" said Lutnick, referring to technology CEOs, ""they're going to be very happy."" - Quote_2
""Trump accused IT outsourcing firms of 'systemic abuse' of the H-1B programme and branded it a 'national security threat.'"" - Quote_4
""Trump said that the country will use that amount to cut taxes and pay down debt. 'We think it's going to be very successful,' Trump said."" - Quote_5
""During a signing at the Oval Office Friday, Trump argued that America needs 'great workers' and that the newly imposed fee 'pretty much ensures that that's what's going to happen.'"" - Quote_6
""The company needs to decide... is the person valuable enough to have $100,000 a year payment to the government? Or they should head home and they should go hire an American,"" he told reporters."" - Quote_8"
Sep 2025,2025-09-20,8C685FDC70D6559EBF96EFC6EC5309ED,8C685FDC70D6559EBF96EFC6EC5309ED-1,The American workforce has a new challenge: Trump's $100K fee on H-1B visas,"(CNN) - President Donald Trump's latest effort to overhaul America's legal immigration system - raising the annual fee on H-1B visa applicants from $215 to $100,000 - could deal a major blow to some US industries that rely on skilled foreign workers.
During a signing at the Oval Office Friday, Trump argued that America needs ""great workers"" and that the newly imposed fee ""pretty much ensures that that's what's going to happen."" Administration officials also claimed the hefty fee would incentivize companies to hire American workers.","The sentence discusses a proposed increase in fees for H-1B visa applicants, which directly relates to the theme of a proposed tax impacting companies employing H-1B visa holders. The mention of the fee potentially harming industries that rely on skilled foreign workers aligns with the narrative of how such financial burdens can affect hiring practices and operational costs.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence directly discusses President Trump's proposal to raise the annual fee on H-1B visa applicants from $215 to $100,000, which is a clear reference to the introduction of a high fee on H-1B visas. It also mentions the implications of this fee on US industries and the hiring of American workers, reinforcing the connection to the theme.",Donald Trump is quoted as arguing that America needs 'great workers' and that the newly imposed fee 'pretty much ensures that that's what's going to happen.',quote,"Today's quotes about Donald Trump primarily reinforce previous statements regarding the introduction of a high fee on H-1B visas. Trump continues to assert that the $100,000 fee will ensure that only highly skilled workers are brought into the United States, which he believes will benefit the tech industry. He maintains that the fee will deter companies from replacing American workers with foreign labor and will help cut taxes and pay down debt. Trump has accused IT outsourcing firms of abusing the H-1B program and labeled it a national security threat. The administration claims the fee will incentivize hiring American workers. New information includes Trump's statement that the fee will be used to cut taxes and pay down debt, and the confusion among businesses about the details of the H-1B order.","""The US has dealt a significant blow to global talent. H-1B visa fees have risen by up to $100,000."" - Quote_1
""We've spoken to them,"" said Lutnick, referring to technology CEOs, ""they're going to be very happy."" - Quote_2
""Trump accused IT outsourcing firms of 'systemic abuse' of the H-1B programme and branded it a 'national security threat.'"" - Quote_4
""Trump said that the country will use that amount to cut taxes and pay down debt. 'We think it's going to be very successful,' Trump said."" - Quote_5
""During a signing at the Oval Office Friday, Trump argued that America needs 'great workers' and that the newly imposed fee 'pretty much ensures that that's what's going to happen.'"" - Quote_6
""The company needs to decide... is the person valuable enough to have $100,000 a year payment to the government? Or they should head home and they should go hire an American,"" he told reporters."" - Quote_8"
Sep 2025,2025-09-20,9CE961B6FC0C7E555D10E7DF604163F7,9CE961B6FC0C7E555D10E7DF604163F7-2,"Big Tech companies, foreign governments scramble after Trump slaps $100,000 annual fee on H-1B visas","Major technology companies and foreign governments are rushing to respond after President Donald Trump late Friday announced plans to impose a $100,000 annual fee on H-1B visas, threatening to upend the program that underpins America's technology workforce.","The sentence discusses the announcement of a $100,000 annual fee on H-1B visas, which directly relates to the proposed tax impacting companies employing H-1B visa holders. This fee is a significant change that could affect the entire H-1B visa program and the technology workforce in the U.S.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence directly mentions President Trump's announcement of a $100,000 annual fee on H-1B visas, which is the central theme of the article. It clearly establishes a connection to the introduction of a high fee on H-1B visas.","Donald Trump announced plans to impose a $100,000 annual fee on H-1B visas, which is a direct quote of something he has said.",quote,"Today's quotes about Donald Trump primarily reinforce previous statements regarding the introduction of a high fee on H-1B visas. Trump continues to assert that the $100,000 fee will ensure that only highly skilled workers are brought into the United States, which he believes will benefit the tech industry. He maintains that the fee will deter companies from replacing American workers with foreign labor and will help cut taxes and pay down debt. Trump has accused IT outsourcing firms of abusing the H-1B program and labeled it a national security threat. The administration claims the fee will incentivize hiring American workers. New information includes Trump's statement that the fee will be used to cut taxes and pay down debt, and the confusion among businesses about the details of the H-1B order.","""The US has dealt a significant blow to global talent. H-1B visa fees have risen by up to $100,000."" - Quote_1
""We've spoken to them,"" said Lutnick, referring to technology CEOs, ""they're going to be very happy."" - Quote_2
""Trump accused IT outsourcing firms of 'systemic abuse' of the H-1B programme and branded it a 'national security threat.'"" - Quote_4
""Trump said that the country will use that amount to cut taxes and pay down debt. 'We think it's going to be very successful,' Trump said."" - Quote_5
""During a signing at the Oval Office Friday, Trump argued that America needs 'great workers' and that the newly imposed fee 'pretty much ensures that that's what's going to happen.'"" - Quote_6
""The company needs to decide... is the person valuable enough to have $100,000 a year payment to the government? Or they should head home and they should go hire an American,"" he told reporters."" - Quote_8"
Sep 2025,2025-09-20,757F1E638BB1248C312DA9E72D4727E9,757F1E638BB1248C312DA9E72D4727E9-4,"White House says $100,000 H-1B visa fee to be one-time payment","""The company needs to decide... is the person valuable enough to have $100,000 a year payment to the government? Or they should head home and they should go hire an American,"" he told reporters. Though he claimed that ""all the big companies are on board,"" many businesses were left confused about the details of the H-1B order. U.S. bank JPMorgan confirmed that a memo had been sent to its employees with H-1B visas advising them to remain in the United States and avoid international travel until further guidance was issued. Tech entrepreneurs -- including Trump's former ally Elon Musk -- have warned against targeting H-1B visas, saying that the United States does not have enough homegrown talent to fill important tech sector job vacancies.","The sentence discusses the financial implications of hiring H-1B visa workers versus domestic candidates, highlighting the potential decision companies face regarding the value of H-1B employees in light of new costs. This aligns with the theme of companies prioritizing domestic candidates over H-1B visa applicants due to increased costs.",Companies may prioritize domestic candidates over H-1B visa applicants.,Donald Trump,,PEOP,related,"The sentence discusses the implications of a high fee on H-1B visas, specifically mentioning a $100,000 payment to the government and the decision companies must make regarding hiring foreign workers versus Americans. This directly relates to the theme of the introduction of a high fee on H-1B visas.","Donald Trump explicitly stated that companies need to evaluate the value of foreign workers against the cost of the H-1B visa fee, which is a direct quote from him.",quote,"Today's quotes about Donald Trump primarily reinforce previous statements regarding the introduction of a high fee on H-1B visas. Trump continues to assert that the $100,000 fee will ensure that only highly skilled workers are brought into the United States, which he believes will benefit the tech industry. He maintains that the fee will deter companies from replacing American workers with foreign labor and will help cut taxes and pay down debt. Trump has accused IT outsourcing firms of abusing the H-1B program and labeled it a national security threat. The administration claims the fee will incentivize hiring American workers. New information includes Trump's statement that the fee will be used to cut taxes and pay down debt, and the confusion among businesses about the details of the H-1B order.","""The US has dealt a significant blow to global talent. H-1B visa fees have risen by up to $100,000."" - Quote_1
""We've spoken to them,"" said Lutnick, referring to technology CEOs, ""they're going to be very happy."" - Quote_2
""Trump accused IT outsourcing firms of 'systemic abuse' of the H-1B programme and branded it a 'national security threat.'"" - Quote_4
""Trump said that the country will use that amount to cut taxes and pay down debt. 'We think it's going to be very successful,' Trump said."" - Quote_5
""During a signing at the Oval Office Friday, Trump argued that America needs 'great workers' and that the newly imposed fee 'pretty much ensures that that's what's going to happen.'"" - Quote_6
""The company needs to decide... is the person valuable enough to have $100,000 a year payment to the government? Or they should head home and they should go hire an American,"" he told reporters."" - Quote_8"
