entity_id,company_name,ticker,current_quarter,tone_category,sentiment_score,key_nlp_signals,investor_insights,summary,qq_delta,qq_change,qq_explanation,qq_prior_score,yoy_delta,yoy_change,yoy_explanation,yoy_prior_score
00067A,Humana Inc.,HUM,Q1 2026,Bullish,0.28,"High frequency of positive/affirming financial and performance terms (e.g., pleased, solid start, on track, confident, strong early start, disciplined, comfortable, prudent buffer, great progress, very confident).; Strong forward-looking commitment language with explicit targets and timeframes (e.g., returning to sustainable margin of at least 3% in 2028, progress in 2027, expect to double individual MA margin in 2026, unlock earnings potential by 2028).; Moderate hedging/uncertainty used selectively around external thresholds and outcomes (e.g., cannot guarantee Stars outcome in October, risk and uncertainty cautionary statement, prudent assumptions, early indicators, not perfect information, mindful of cash position).","Guidance tone is primarily maintaining/advancing: management repeatedly states they are 'on track' and 'expect' progress toward 2027/2028 commitments, with no explicit lowering of targets; however, they emphasize benefit adjustments as necessary due to a larger funding gap vs medical trend.; Bidding and margin messaging is confident but conditional: they frame 2027 bid actions as constrained by the 2028 margin target and TBC considerations, while acknowledging unknowns (Stars thresholds, cohort cost profile) and using conservative claims reserving to manage uncertainty.","Management tone is bullish: they repeatedly express being pleased, on track, and confident in achieving multi-year margin and Stars-related commitments, supported by operational progress and disciplined pricing. While they acknowledge meaningful uncertainty (Stars thresholds, funding vs medical trend gap, and incomplete cohort visibility), the hedging is largely used to qualify timing/outcomes rather than to retract targets, resulting in an overall constructive forward-looking stance.",-0.04,Same (Bullish),"Sentiment remains bullish but is slightly lower in Q1 2026 versus Q4 2025. The tone is still constructive and confident, though with marginally more qualification around key uncertainties.",0.32,-0.14,Notably More Bearish,"Sentiment is lower in Q1 2026 versus Q1 2025 (0.28 vs 0.42), indicating a less upbeat tone. While both quarters are bullish, Q1 2026 relies more on conditional/hedged language around external outcomes and timing, reducing overall confidence.",0.42
002F3F,Cheniere Energy Partners L.P.,CQP,Q3 2025,Bullish,0.42,"Strong positive financial/operational word choice (e.g., 'significant progress', 'key successes', 'substantial completion', 'record', 'acceleration', 'raising guidance', 'confident', 'strong financial results', 'disciplined approach', 'conviction'); Forward-looking language is assertive and execution-oriented (e.g., 'expect 2026 to be another record year', 'on track', 'remain on track', 'bringing forward our timeline', 'we are raising', 'we currently forecast') with frequent definitive framing ('will', 'remain', 'on track'); Hedging/uncertainty is present but generally bounded and operationally framed (e.g., 'with that said', 'variability', 'weather dependent', 'year end timing can drive some degree of variability', 'we expect' vs 'we intend'); guidance tone is mostly confident with explicit upward revision to DCF","Management’s tone supports a constructive earnings power narrative: they reconfirm EBITDA guidance while explicitly raising DCF guidance, attributing the increase to a discrete tax rule change—suggesting confidence in cash flow durability rather than purely operational upside.; Despite acknowledging external volatility (geopolitics, feed gas variability, market noise), they repeatedly emphasize contracted visibility and disciplined capital allocation; investors should treat the remaining uncertainty as timing/throughput variability rather than demand/contracting breakdown.","Management tone is bullish and execution-confident, highlighted by repeated references to substantial completion, accelerated schedules, record production, and strong financial results. They reconfirm EBITDA guidance but raise DCF guidance, using definitive forward-looking language while limiting hedging to operational/timing variability (e.g., feed gas variability, commissioning ramp, year-end cargo timing).",,,,,0.0,Same (Bullish),"Sentiment score is unchanged at 0.42 Y/Y, indicating management’s tone remains equally bullish. The narrative continues to emphasize execution confidence and guidance strength, with uncertainty framed around timing/operational variability.",0.42
003B70,Realty Income Corp.,O,Q1 2026,Bullish,0.42,"Strong positive financial/operational word choice: 'strong momentum', 'progress', 'delivered', 'disciplined', 'durable', 'robust occupancy', 'outsized', 'increasing', 'improved visibility', 'confident', 'meaningful evolution', 'best-in-class', 'very selective' (net positive LM-weighted terms).; Forward-looking language is assertive and growth-oriented: 'supports our decision to raise', 'increasing full-year AFFO per share guidance', 'increasing full-year investment volume guidance', 'strive towards consistent double-digit total operational returns', 'expect to continue adding accretive sources', 'intend to scale this relationship', 'we are very close... fully deployed'.; Hedging/uncertainty is present but generally bounded: frequent qualifiers like 'based on current visibility', 'we believe', 'we expect', 'intent', 'opportunistic', 'episodic', 'not gonna be pursuing' if it doesn't translate to EPS; however, guidance actions are specific (raise ranges) and confidence indicators are mostly definitive ('supports', 'increasing', 'raised', 'delivered', 'ended the quarter with').","Management’s tone aligns with constructive fundamentals: they raised AFFO per share guidance and investment volume guidance, while also lowering credit loss outlook—suggesting improving risk/return visibility rather than deterioration.; Despite bullish framing, uncertainty is concentrated around the durability/recurrence of lease termination income and the pace of private-capital scaling; investors should monitor whether termination income remains episodic and whether credit investments convert into the intended real-estate ownership outcomes.","Management tone is bullish, characterized by confident delivery ('strong momentum', 'delivered', 'robust') and strong forward-looking growth language ('supports', 'increasing guidance', 'intend to scale'). Hedging exists ('based on current visibility', 'we believe', 'opportunistic/episodic'), but it is generally used to qualify execution details rather than to signal weaker outlook; guidance actions are net positive (raise AFFO/investment volume, lower credit loss outlook).",0.1,Notably More Bullish,"Sentiment increased from 0.32 to 0.42, reflecting a more assertive bullish tone in Q1 2026, including raised AFFO/investment volume guidance and stronger momentum/visibility language. Uncertainty remains present but is more bounded and framed around execution details rather than a broader outlook risk.",0.32,0.0,Same (Bullish),"Sentiment score is unchanged at 0.42 year-over-year, indicating management maintained a similarly bullish tone. Both quarters emphasize confidence and execution, with only bounded, procedural hedging.",0.42
009397,LPL Financial Holdings Inc.,LPLA,Q1 2026,Bullish,0.32,"High concentration of positive financial/operational terms: 'strong start', 'solid organic asset growth', 'record adjusted EPS', 'strong financial performance', 'meaningful progress', 'improved operating leverage', 'strong business and financial results', 'excited about the opportunities'.; Forward-looking language is confident and constructive, with multiple definitive expectations: 'we continue to expect', 'we believe this positions us', 'we remain on track', 'we expect to be back at $425 million', 'we feel very confident', 'we should be able to sustain mid- to high-single-digit growth'.; Hedging/uncertainty is present but mostly in standard legal framing and market/seasonality qualifiers ('rising macroeconomic and geopolitical uncertainty', 'increasingly loud and often speculative narrative', 'we expect', 'based on where... are today', 'if we were to snap the chalk'), with limited use of severe negative terms.","Guidance tone is modestly constructive: management lowered the upper end of core G&A outlook (cost control) while maintaining/using expectations for operating leverage; this suggests confidence in efficiency gains rather than demand deterioration.; AI/cash monetization risk is addressed with reassurance and process-based diligence ('we don't see an imminent risk', 'doing the work'), implying management views structural disruption as manageable and time-bound—investors should monitor any subsequent pricing/fee model changes for timing and advisor adoption.","Management tone is bullish, driven by repeated positive performance descriptors (record EPS, strong organic growth, improved operating leverage) and confident forward-looking statements about recruiting pipeline pull-through and long-term organic growth. Uncertainty language is largely contextual (macro/geopolitics, market-driven EBITDA mark-to-market, seasonality) and is paired with definitive expectations and clear operational targets, indicating controlled hedging rather than pessimism.",-0.1,Notably More Bearish,"Sentiment softened from Q4 2025 to Q1 2026 (0.42 to 0.32). While both quarters remain bullish, Q1 2026 includes relatively more cautious/qualifying language around uncertainty and timing, reducing overall tone intensity.",0.42,-0.3,Significantly More Bearish,"Sentiment decreased materially versus Q1 2025 (0.62 to 0.32), indicating a less emphatic tone. While Q1 2026 remains bullish, it relies more on controlled hedging/qualifiers and fewer peak-level confidence signals than the prior year.",0.62
013528,PepsiCo Inc.,PEP,Q1 2026,Bullish,0.42,"Strong positive financial/operational word choice: 'advantage', 'resilience', 'nice job', 'solid', 'accelerating', 'strong', 'good progress', 'encouraged', 'exciting', 'optimizing', 'on track', 'record year' (productivity).; Forward-looking language is confident and specific: repeated definitive expectations such as 'we expect', 'we're going to', 'we affirmed our guidance today', 'no change in guidance', 'positive volume growth ex case pack water in the coming quarters', 'by the end of Q2 we'll probably be almost completed'.; Hedging/uncertainty is present but contained and procedural: 'still working through', 'to be determined', 'depending on the magnitude and time', 'too early to come to any definitive conclusions right now', 'we'll watch closely'. Overall, uncertainty is framed as manageable with mitigation plans.","Management maintains guidance (no top-line change) and frames external risks (Iran conflict, inflation, SNAP) as mitigable via hedging, productivity, and pricing/pack architecture—suggesting investors should treat guidance as credible rather than at risk of near-term downgrades.; The tone differentiates by segment: PFNA is described as improving sequentially and 'ahead of where we thought we would be', while PBNA volume is managed with expectations of acceleration after excluding a known transition item—watch for whether future calls continue to confirm the 'acceleration' narrative.","Management tone is bullish, with frequent positive operational descriptors and strong confidence in execution. Forward-looking statements are generally definitive (affirmed guidance, expectations for acceleration and sequential improvement), while hedging is limited to specific items that are still being assessed (inflation magnitude, SNAP impact timing), indicating controlled uncertainty rather than a cautious stance.",0.0,Same (Bullish),"Sentiment score is unchanged at 0.42, indicating the tone remains bullish from Q4 2025 to Q1 2026. Both quarters emphasize confident execution and maintain guidance, with only mild, procedural hedging.",0.42,0.24,Significantly More Bullish,"Sentiment increased materially versus Q1 2025, with management using more definitive, execution-focused positive language and stronger confidence around guidance and near-term acceleration. Uncertainty is still present, but it is more contained and framed as manageable rather than tied to broader macro/tariff risk.",0.18
0157B1,Amazon.com Inc.,AMZN,Q1 2026,Very Bullish,0.62,"Heavy concentration of positive financial/operational terms (strong, highest, leader, momentum, growth, accelerate, strong sales trends, meaningful opportunities, compelling, unusually well-positioned) with very few negative financial terms.; Very strong forward-looking language and confidence indicators (we expect, we believe, we are confident, on track, will be, will continue, future, long-term, once in a lifetime opportunity) with frequent definitive phrasing rather than tentative wording.; Hedging/uncertainty is present mainly in the standard safe-harbor framing (actual results may differ materially; guidance assumes; inherently unpredictable; headwind of FX) but does not dominate the substantive business narrative; guidance tone is largely maintaining/raising via strong Q2 outlook and continued investment posture.","Management’s tone suggests confidence in monetizing AI-driven capacity: they repeatedly link AI demand to core growth and emphasize high confidence in CapEx monetization (customer commitments for a substantial portion, compelling margins/ROIC). Investors should treat this as a signal that they expect sustained demand absorption despite near-term free-cash-flow pressure from higher CapEx growth.; Guidance tone appears constructive: Q2 net sales and operating income ranges are framed as supported by “strong sales trends carrying into Q2,” while the main quantified headwinds are FX and specific cost items (stock comp timing, Leo satellite costs, transportation/fuel inflation partially offset by surcharges). This implies no broad demand caution, but investors should monitor execution on logistics cost offsets and Leo-related cost ramp.","Management delivered a very bullish tone, emphasizing accelerating AWS growth, strong margins, and “momentum” across chips and agentic AI offerings. Forward-looking statements are largely definitive (expect/continue/confident/on track) with hedging largely confined to standard safe-harbor language; guidance is framed as supported by strong trends rather than constrained by demand.",0.0,Same (Bullish),"Sentiment score is unchanged at 0.62, indicating management maintained a similarly very bullish tone from Q4 2025 to Q1 2026, with confidence-forward language and limited incremental hedging.",0.62,0.2,Significantly More Bullish,"Sentiment increased by 0.20, moving from a Bullish tone in Q1 2025 to a Very Bullish tone in Q1 2026. The current quarter shows a stronger concentration of definitive positive language and confidence in AI/CapEx monetization, with hedging remaining largely procedural.",0.42
031025,Manhattan Associates Inc.,MANH,Q1 2026,Bullish,0.42,"High concentration of positive financial/operational terms (strong, strong start, record, better than expected, increased, accelerated, solid, optimistic, momentum, win rate above 70%, meaningful improvements, ROI).; Strong forward-looking language with explicit growth intent and confidence (increased full year outlook, raising guidance, expect to continue to scale, believe/expect to have meaningful impact in 2027, very optimistic about long-term growth opportunity).; Limited hedging relative to bullishness: macro volatility and uncertainty are acknowledged, but guidance actions are decisive (raising revenue/margin/EPS outlook; conservative monetization stance is framed as prudence rather than doubt).","Management’s guidance tone is decisively upward: they explicitly raise full-year total revenue, operating margin, and EPS outlook while keeping Q2–Q4 parameters unchanged—suggesting confidence in near-term execution and controlled risk management.; AI/agentic monetization is communicated with cautious framing (“conservative approach,” “early,” “expect bigger impact in 2027 than 2026”), but the operational evidence is presented as already translating into paid pilots, deployments, and improving RPO—supporting a bullish interpretation of conversion trajectory.","Overall tone is bullish: management repeatedly emphasizes strong execution, record/better-than-expected results, accelerating growth, and raised full-year guidance. While they acknowledge macro volatility and use some uncertainty language (forward-looking risk, conservative monetization, early-stage AI), the confidence indicators and guidance actions are predominantly definitive, with limited negative financial sentiment.",-0.2,Significantly More Bearish,"Sentiment weakened materially from Q4 2025 to Q1 2026 (0.62 to 0.42). While Q1 remains bullish, the tone is less emphatic and more cautious/hedged than the very bullish, confidence-heavy framing in Q4.",0.62,0.1,Notably More Bullish,"Sentiment increased by 0.10, indicating a more bullish tone in Q1 2026 versus Q1 2025. The improvement aligns with stronger emphasis on raised guidance and record/better-than-expected execution, with only limited hedging.",0.32
034B61,Booking Holdings Inc.,BKNG,Q1 2026,Bullish,0.42,"Strong positive financial/operational word choice (e.g., solid execution, strong results, momentum, growth, increased, exceeded, resilience, value, positioned, disciplined, foundation, strong free cash flow profile).; Forward-looking language is confident and constructive, with repeated definitive intent (e.g., 'we believe', 'we expect to continue building', 'we remain focused', 'we are set up well', 'we plan to continue to return capital', 'we are very committed').; Hedging/uncertainty is present but largely framed as scenario-based rather than fundamental doubt (e.g., 'uncertain macro backdrop', 'we recognize', 'we estimate', 'assumptions', 'may differ', 'no one can exactly say how long it will last'), while management maintains clear directional outlook (recovery in 2H; long-term constant-currency growth ambition).","Guidance tone is mixed: Q2 room nights/gross bookings/EBITDA are guided down versus prior expectations (explicitly 'lowering our guidance ranges at the midpoint'), but the high end of gross bookings and adjusted EPS remains 'in line' with prior expectations—suggesting management is protecting upside while acknowledging downside risk from the Middle East through June.; Management repeatedly emphasizes durability of demand and long-term strategy (Connected Trip, GenAI, Genius, direct channel) and pairs it with cost discipline; investors should interpret the tone as 'near-term volatility acknowledged, long-term confidence maintained,' with the main uncertainty centered on duration/magnitude of geopolitical disruption and related cancellations/ADR effects.","Management tone is bullish overall: they highlight solid execution and strong year-over-year growth, use confident forward-looking language about Connected Trip, GenAI, and direct channel progress, and stress resilience of travel demand. They do acknowledge meaningful near-term uncertainty from the Middle East and explicitly lower full-year guidance ranges at the midpoint, but they frame this as assumption-driven and maintain confidence in recovery in the second half and in long-term growth targets.",-0.2,Significantly More Bearish,"Sentiment weakened materially from Q4 2025 to Q1 2026 (0.62 to 0.42). The tone remains bullish overall, but the need to lower guidance ranges at the midpoint and emphasize near-term geopolitical uncertainty reduces the overall confidence level versus the very bullish, high-conviction framing in Q4.",0.62,-0.2,Significantly More Bearish,"Tone remains bullish, but the sentiment score drops materially versus Q1 2025. The current quarter’s outlook includes a more explicit guidance reduction at the midpoint and heavier emphasis on near-term geopolitical uncertainty, which dampens overall confidence language.",0.62
03596A,AECOM Co.,ACM,Q2 2026,Bullish,0.42,"Strong positive financial/operational word choice: 'strength and resilience', 'new highs', 'record backlog', 'increased', 'strong win rates', 'leading position', 'on track', 'confidence', 'profit guidance' raised.; Very strong forward-looking language with execution framing: 'increasing our full-year profit guidance', 'expect to increase', 'expect growth to inflect', 'we are confident', 'will be delivering', 'ramp-up', 'positive about continued growth'.; Hedging/uncertainty is present but contained and localized: repeated 'uncertainty' and 'near-term uncertainty' tied to 'Middle East' with 'unclear resolution timeline' and 'difficult to forecast pace', while management offsets with visibility ('line of sight or visibility') and cash recovery ('already recovered in the 3rd quarter').; Guidance tone is clearly constructive: management explicitly 'increasing' full-year profit guidance for the second time; EPS/EBITDA growth expectations are reiterated at the midpoint with confidence language.","Management’s bullish tone is reinforced by both performance metrics ('new record backlog', margin expansion) and a concrete action—raising full-year profit guidance—suggesting they view current momentum as durable despite Middle East volatility.; Uncertainty is primarily concentrated in the Middle East timing (growth pace, cash receipts cadence, claim resolution), but management provides confidence via recovery after quarter-end and maintains free cash flow guidance, implying investors should monitor Middle East execution timing rather than broader demand.","Management delivered a bullish, confidence-forward tone, emphasizing record backlog, margin expansion, and multiple 'new highs' alongside a second increase to full-year profit guidance. While they acknowledge meaningful uncertainty around Middle East timing and forecasting, they repeatedly counterbalance with visibility, post-quarter recovery, and definitive confidence in delivering guidance and long-term objectives.",-0.2,Significantly More Bearish,"Sentiment cooled from a very bullish Q1 (0.62) to a bullish Q2 (0.42), a drop of 0.20. While Q2 still highlights record backlog and raised profit guidance, the tone appears less emphatic and more tempered by concentrated Middle East timing uncertainty.",0.62,0.0,Same (Bullish),"Sentiment score is unchanged at 0.42 versus Q2 2025, indicating the tone remains bullish year-over-year. Both quarters emphasize record/backlog strength and raised guidance with contained, localized uncertainty.",0.42
03B8CF,3M Co.,MMM,Q1 2026,Bullish,0.42,"Strong positive financial/operational word choice: 'solid operating performance', 'increased', 'up', 'solid start', 'strong execution', 'confidence', 'encouraging order trends', 'momentum', 'improving', 'progress', 'pleased', 'optimistic', 'strong free cash flow generation'.; Forward-looking language is frequent and assertive: 'remain confident', 'on pace', 'expect', 'anticipate', 'will be', 'we see', 'we are reiterating', 'gives us confidence', 'on track', 'accelerate', 'position us well', 'we will double capacity'.; Hedging/uncertainty is present but mostly bounded: 'volatile environment', 'subject to risks and uncertainties', 'contingency', 'prudent', 'depending on', 'if', 'we think', 'hard to discern', 'not currently seeing', 'macro remains uncertain'—used to qualify guidance rather than to retract it.","Guidance tone is maintenance-with-optimism: management reiterates full-year EPS and organic sales guidance while emphasizing acceleration into Q2/back half, and frames the remaining risk via a small explicit contingency rather than lowering targets.; Confidence is supported by execution metrics (OTIF, OEE, cost of poor quality, backlog/order momentum) and by pricing actions tied to oil exposure; however, they repeatedly note macro volatility and 'hard to discern' pre-buy magnitude, implying investors should monitor order timing and demand normalization in Q2.","Management’s tone is bullish: they highlight strong Q1 execution, improving margins/cash flow, and clear momentum into Q2 with confident forward-looking statements ('remain confident', 'on pace', 'gives us confidence'). While they acknowledge macro uncertainty and use a guidance contingency, the hedging is largely procedural (risk management) rather than a signal of deteriorating outlook, and guidance is maintained rather than lowered.",0.0,Same (Bullish),"Sentiment score is unchanged at 0.42, indicating the tone remains bullish from Q4 2025 to Q1 2026. Both quarters emphasize strong execution and confidence in guidance, with only bounded macro-related hedging.",0.42,0.34,Significantly More Bullish,"Sentiment increased materially from a mildly positive/neutral tone in Q1 2025 (0.08) to a clearly bullish tone in Q1 2026 (0.42). The shift reflects stronger confidence and momentum language in 2026, with guidance framed as maintained and on-track rather than heavily constrained by tariff/macro uncertainty.",0.08
