TOPIC,GROUP,TYPE,SUB_TYPE
business,dividends,dividend,above-expectations
business,products-services,clinical-trials,start
business,products-services,market-guidance,unchanged
business,analyst-ratings,analyst-ratings-change,neutral
business,analyst-ratings,analyst-ratings-coverage,dropped
business,earnings,earnings-per-share-guidance,unchanged
business,earnings,ebit-estimate,downgrade
business,earnings,earnings-guidance,
business,earnings,earnings-per-share-estimate,
business,earnings,earnings-per-share-guidance-expectations,above-expectations
business,earnings,earnings-revision,
business,earnings,ebit-guidance,down
business,earnings,ebitda,unchanged
business,earnings,pretax-earnings-estimate,downgrade
business,earnings,pretax-earnings-guidance,unchanged
business,labor-issues,board-diversity,unchanged
business,earnings,ebit-guidance,unchanged
business,earnings,ebita,down
business,earnings,operating-earnings-guidance,up
business,labor-issues,board-member-health,
business,earnings,pretax-earnings,down
business,labor-issues,board-member-salary,increase
business,labor-issues,executive-salary,
business,labor-issues,executive-scandal,
business,labor-issues,gender-pay-gap,decrease
business,labor-issues,hirings,
business,labor-issues,job-listing,updated
business,labor-issues,workforce-benefits,decrease
business,labor-issues,workforce-diversity,decrease
business,labor-issues,workforce-retention,
business,labor-issues,workforce-salary,decrease
business,labor-issues,workforce-turnover,unchanged
business,products-services,breakthrough-therapy-application,
business,products-services,business-contract,interest
business,products-services,ce-marking-regulation,approval-denied
business,products-services,clinical-trials,positive
business,products-services,clinical-trials,resumed
business,products-services,clinical-trials-regulation,hold
business,products-services,expanded-access-program,start
business,products-services,market-guidance,
business,products-services,market-share,
business,products-services,market-share-guidance,
business,products-services,new-drug-regulation,approval-granted
business,products-services,order-backlog,unchanged
business,products-services,product-pricing,
business,products-services,product-takeback,
business,products-services,regulatory-product-approval,granted
business,products-services,regulatory-product-review,positive
business,products-services,supply,increase
business,products-services,supply-chain-disruption,ended
business,products-services,supply-chain-upgrade,
business,regulatory,auditor-appointment,
business,regulatory,internal-audit,
business,revenues,operating-margin-guidance,down
business,revenues,operating-margin-guidance,unchanged
business,revenues,revenue-estimate,downgrade
business,revenues,same-store-sales,below-expectations
business,partnerships,partnership,terminated
business,products-services,new-drug-application,accepted
business,products-services,project-regulation,halt
business,products-services,regulatory-product-warning,
business,revenues,operating-margin,
business,revenues,revenue,below-expectations
business,revenues,revenue,unchanged
business,revenues,revenue-volume,
business,products-services,market-share-guidance,loss
business,regulatory,exchange-noncompliance,
business,products-services,supply-guidance,increase-delayed
business,earnings,ebita-estimate,upgrade
business,analyst-ratings,analyst-ratings-history,positive
business,dividends,dividend,down
business,dividends,dividend,meet-expectations
business,earnings,earnings,up
business,earnings,earnings-date,early-release
business,earnings,earnings-per-share-expectations,below-expectations
business,earnings,earnings-per-share-guidance,down
business,earnings,earnings-per-share-guidance,up
business,earnings,ebitda-expectations,meet-expectations
business,earnings,earnings-estimate,upgrade
business,earnings,earnings-expectations,meet-expectations
business,earnings,earnings-per-share,down
business,earnings,earnings-per-share-estimate,upgrade
business,earnings,ebita-guidance-expectations,below-expectations
business,earnings,pretax-earnings-expectations,below-expectations
business,earnings,pretax-earnings-guidance,up
business,earnings,earnings-per-share-estimate,downgrade
business,earnings,ebita-expectations,above-expectations
business,earnings,ebita-guidance,
business,earnings,ebitda,up
business,earnings,operating-earnings-expectations,above-expectations
business,earnings,pretax-earnings,
business,labor-issues,board-diversity,decrease
business,earnings,ebitda-guidance,
business,labor-issues,gender-pay-gap,increase
business,labor-issues,workforce-benefits,increase
business,products-services,animal-testing,
business,products-services,business-contract,rumor-denied
business,products-services,business-contract,terminated-rumor
business,products-services,demand,below-expectations
business,products-services,priority-review-application,
business,products-services,product-resumed,
business,regulatory,facility-inspection,
business,regulatory,regulatory-capital-noncompliance,
business,revenues,operating-margin,below-expectations
business,revenues,operating-margin-guidance,up
business,revenues,revenue-guidance,above-expectations
business,products-services,breakthrough-therapy-designation,revoked
business,products-services,business-contract,
business,products-services,expanded-access-program,resumed
business,products-services,government-contract,
business,products-services,market-share,gain
business,products-services,market-share-guidance,unchanged
business,products-services,product-enhancement,
business,products-services,product-review,neutral
business,products-services,product-review,
business,products-services,project-resumed,
business,regulatory,regulatory-investigation,completed-no-sanction
business,regulatory,regulatory-stress-test,pass
business,revenues,operating-margin,meet-expectations
business,revenues,revenue-estimate,upgrade
business,regulatory,regulatory-investigation,completed
business,revenues,revenue-guidance,down
business,products-services,supply-chain-audit,negative
business,earnings,ebita-estimate,
business,analyst-ratings,analyst-ratings-change,positive
