Entity,summary,key_points,quotes,country,quote_count
Alphabet Inc.,"The introduction of a high fee on H-1B visas, specifically a $100,000 annual fee, has posed significant challenges for Alphabet Inc. and the broader tech industry. Alphabet, along with other major tech firms like Google, Microsoft, and Amazon, is expected to face increased operational costs and potential talent shortages as a result of this policy. The fee is anticipated to impact not only new visa applications but also renewals, limiting the talent pool available to these companies. While larger corporations like Alphabet may be able to absorb the costs, the fee is seen as particularly burdensome for startups and smaller firms, which could lead to a reduction in hiring of junior and mid-level talent crucial for innovation. Industry experts warn that this could slow down innovation and push companies to consider offshoring jobs, affecting the U.S. labor market. Alphabet has advised its H-1B visa employees to avoid international travel to mitigate potential re-entry difficulties, highlighting the urgency and disruption caused by the regulatory change. The policy is viewed as potentially stifling the growth of the U.S. tech industry and altering recruitment strategies, with concerns that it may weaken the U.S. position as a global tech hub and push skilled talent to other countries. Overall, the high fee is expected to double hiring costs for Alphabet, prompting a reassessment of human resources strategies and potentially slowing innovation and delaying product launches in critical sectors such as artificial intelligence and cloud computing.",[],[],,7
Donald Trump,"In September 2025, Donald Trump announced a significant policy change regarding H-1B visas, introducing a $100,000 fee for new applications. This move was framed as a strategy to curb perceived systemic abuses of the H-1B program and to protect American jobs by discouraging the hiring of foreign workers in favor of domestic talent. The administration argued that the fee would incentivize companies to prioritize hiring skilled American workers, despite concerns from tech companies about the potential negative impact on their operations. The announcement caused confusion and apprehension among tech companies, which rely heavily on H-1B visa holders, leading to fears of workforce disruption and potential downsizing. Some companies considered moving jobs overseas to circumvent the fee. Analysts and industry leaders, including Indian entrepreneur Ajay Jain Bhutoria, expressed skepticism about the fee's effectiveness, suggesting it might lead to increased outsourcing and negatively impact startups. The policy was part of a broader strategy to address national security threats and wage undercutting in the U.S. workforce.",[],[],,7
Wipro Ltd.,"Wipro Ltd. is navigating significant challenges due to the introduction of a high fee on H-1B visas, which is expected to substantially increase operational costs and impact its business strategies. The new $100,000 fee on H-1B visas is reshaping Wipro's hiring strategies, limiting the company's ability to send junior and mid-level engineers to the U.S., and making it financially viable only for high-value roles. This change is compelling Wipro to reassess its staffing strategies, potentially leading to a shift towards offshoring work or reducing on-site deployments. The fee has led to a 2% decline in Wipro's shares, reflecting investor concerns about the operational impact. Analysts predict a near-term freeze on new H-1B applications and a shift towards offshoring work to India, with an increased focus on local hiring in the U.S. The high costs associated with H-1B visas could disrupt onshore projects and necessitate a reevaluation of hiring and pricing strategies. Wipro is exploring alternative solutions such as remote work and client-side training in India to alleviate the financial burden. The fee hike is expected to reduce Wipro's operating profits by 7-15% and could lead to a 1-3% reduction in net profit. The overall implications of the new visa policy could escalate annual immigration costs for Wipro and other top Indian IT providers by $150-550 million. Wipro has shifted towards offshore delivery and local hiring in the U.S., resulting in a reduction of Indian employees on H-1B visas from 34,507 in 2017 to 17,997 by 2025. This shift could adversely affect profitability, particularly for smaller firms that depend heavily on H-1B visas.",[],[],,7
Amazon.com Inc.,"Amazon.com Inc. is significantly impacted by the introduction of a $100,000 fee on H-1B visas, a move by the Trump administration aimed at prioritizing American workers. As one of the largest employers of H-1B visa holders, Amazon faces increased operational costs, potentially amounting to hundreds of millions of dollars. The fee is expected to lead to a reevaluation of hiring practices, with a shift towards attracting high-wage, specialized talent and domestic graduates. This change could disrupt Amazon's ability to hire foreign talent, slow down innovation, and affect long-term projects reliant on skilled workers. While Amazon may absorb the costs due to its financial strength, the fee poses a significant challenge for startups and smaller companies, potentially stifling innovation and collaboration within the tech sector. The policy could also lead to a brain drain, as the U.S. becomes a less attractive destination for skilled professionals. Overall, the introduction of this fee is seen as a disruptive change for the tech industry, with broader implications for talent acquisition and project timelines.",[],[],,7
Microsoft Corp.,"The introduction of a $100,000 fee on H-1B visas has placed Microsoft Corp. at the forefront of a significant challenge impacting the tech industry. This policy is expected to increase operational costs for Microsoft and other major tech companies, potentially deterring global talent and stifling innovation. Microsoft has advised its H-1B and H-4 visa-holding employees to remain in or return to the U.S. due to the policy's implications, which disproportionately affect Indian IT professionals, a major demographic among H-1B holders. The fee could compel Microsoft to reassess its hiring strategies, possibly prioritizing highly specialized roles and reducing opportunities for junior and mid-level positions. Concerns have been raised about the policy's potential to hinder U.S. competitiveness and innovation, with Microsoft considering shifting more operations to countries with more favorable immigration laws, such as Canada. The fee is anticipated to inflate hiring costs, slow innovation, and disrupt India-U.S. tech collaborations, potentially leading to a talent shift to other countries. While Microsoft may absorb these costs, smaller firms could face significant burdens, highlighting the disparity in impact across the tech sector. The policy's regressive nature could ultimately harm the American economy, which relies heavily on skilled foreign workers.",[],[],,7
Infosys Ltd.,"Infosys Ltd. is navigating significant challenges due to the introduction of a high fee on H-1B visas, which is expected to substantially increase operational costs and impact hiring practices. The new $100,000 fee per visa is anticipated to deter companies from employing foreign workers, particularly affecting firms like Infosys that rely heavily on Indian tech talent. This fee is projected to erode operating margins by 7-15% and increase annual immigration costs by $150 to $550 million, prompting Infosys to reevaluate its staffing strategies. In response, Infosys is accelerating offshoring to India and increasing local hiring in the U.S. to mitigate the financial impact. The company is also exploring remote work and client-side training in India as alternative solutions. Despite a decrease in reliance on H-1B visas, the accessibility of these visas remains crucial for Infosys, which generates a significant portion of its revenue from the U.S. market. The new fee structure poses a strategic challenge, potentially leading to a shift in business models and increased local hiring to maintain competitiveness. Overall, the introduction of high H-1B visa fees is reshaping the operational landscape for Infosys and other Indian IT firms, necessitating strategic pivots to adapt to the evolving immigration policy environment.",[],[],,7
IBM Corp. Pty. Ltd.,"IBM Corp. Pty. Ltd. is navigating a challenging landscape following the introduction of a high fee on H-1B visas, which has significantly increased the cost of sponsoring foreign workers. Historically reliant on H-1B visas to employ foreign talent, particularly from India, IBM faces increased operational costs due to the new $100,000 fee. This change is expected to reshape the company's hiring strategies and could lead to further outsourcing of technical operations. IBM is part of the Compete America coalition, which has urged the US administration to reconsider the fee, arguing it could harm American job growth and economic expansion. Despite the challenges, IBM is exploring alternative visa options, such as the L-1 visa, and has seen internal debate, with some executives defending the fee as a means to ensure visas are allocated to highly skilled individuals. The company, alongside other tech giants like Amazon, Microsoft, and Google, is significantly affected by this policy, which the White House defends as a measure to address 'systemic abuse' of the H-1B program. IBM emphasizes the critical role of foreign talent in the U.S. technology sector and warns that increased fees could deter skilled professionals, potentially hindering innovation and competitiveness. The company highlights the importance of attracting and retaining top talent to sustain economic growth, focusing on the broader implications for the U.S. economy.",[],[],,6
Thomson Reuters Corp.,"The introduction of a $100,000 annual fee on H-1B visas has sparked significant concern and strategic shifts among companies, as highlighted by Thomson Reuters Corp. The fee, a substantial increase from the previous cost of a few thousand dollars, is expected to heavily impact startups and mid-sized tech companies that rely on these visas for junior and mid-level roles. This change is seen as a deterrent to attracting global talent, potentially affecting the U.S. economy's competitiveness, particularly in sectors like artificial intelligence. In response, companies are becoming more selective in sponsoring H-1B candidates, prioritizing critical roles, and increasing local hiring, acquisitions, and partnerships to reduce reliance on the H-1B program. The high cost of the visa may incentivize companies to outsource jobs to countries with lower labor costs, such as India, and establish innovation hubs abroad. The confusion surrounding the fee's implementation has led many companies to pause recruitment and workforce planning, prompting a reevaluation of hiring strategies. The new fee applies only to new applicants, adding to the uncertainty in the hiring landscape and potentially leading to a decrease in the number of H-1B visa workers employed in the U.S. tech industry.",[],[],,6
Tata Consultancy Services Ltd.,"Tata Consultancy Services Ltd. (TCS) is significantly impacted by the recent introduction of a $100,000 fee for H-1B visa sponsorship, as announced by President Trump. This steep increase is expected to reshape the hiring landscape for foreign professionals, particularly affecting Indian workers who constitute a large portion of H-1B visa holders. The new fee pressures TCS and similar companies to reconsider their hiring strategies, potentially shifting focus towards highly specialized, high-wage talent and domestic graduates. TCS is responding by advising its employees on H-1B visas to either remain in the U.S. or return quickly before the new regulations take effect, reflecting a sense of urgency and concern within the company. The fee hike is viewed as a threat to global talent mobility, which has historically supported U.S. tech firms, and may lead to companies becoming more selective in their sponsorship of H-1B candidates, focusing on only the most critical roles. TCS is grappling with significant operational and financial challenges due to the fee, which complicates workforce planning, recruitment, and deployment strategies. Analysts note that while TCS may be better positioned to absorb these costs due to its profitability and strong balance sheet, the fee increase is still expected to impact project timelines and margins. TCS is likely to explore alternative solutions, such as remote work and contract renegotiations, to alleviate the financial burden. The new fee structure is anticipated to make TCS more selective in its sponsorship of H-1B candidates, potentially reserving filings for only the most critical roles, which could further reduce access to skilled foreign workers. The company is expected to accelerate offshoring and local hiring strategies to mitigate the financial burden. Despite these challenges, TCS is noted to be among the firms least exposed to the impacts of the new policy due to its existing localization strategies. However, the cumulative effect of the $100,000 fee, combined with existing tariffs and tighter client budgets, exacerbates the financial pressures on TCS and other Indian IT firms, increasing the cost of doing business for IT services companies and their clients in the U.S.",[],[],,5
Dewang,"Dewang, led by Founder & CEO Dewang Neralla, has voiced significant concerns over the proposed USD 100,000 annual fee for new H-1B visa petitions. Neralla highlighted that this fee represents a worrying trend of rising costs and reduced mobility for global talent. The impact of this fee is especially significant in sectors like Information Technology and other industries that are oriented towards the US market. These sectors may need to reassess their workforce deployment strategies due to the financial strain introduced by the new fee structure.",[],[],,1
